OBJECTID_1,OBJECTID,Site_Name,Kebele,Woreda,Zone,Region,Ownership,Owner_Name,Area,Perimeter,Inter_Type,Species,Interv_YR,Plantin_YR,Slng_Pr_Ha,Survi_Perc,Aver_Hgt_m,Ave_DBH_cm,Rock_Perc,Wetnes_Cla,Stoni_Perc,Soi_Dth_cm,Soil_Textu,SWC_Works,Land_Hazad,Soil_Color,Weed,Illegl_Cut,Grazing,Fire,LC_Class,X_Centroid,Y_Centroid,F3D_area_h,Shape_Leng,Shape_Area
122,122,Hitancho,Tach Kode,Lemo,Hadiya,SNNP,Communal,,64.759381,4.299713,A/R,Eucalyptus saligna,2018,2018,3400,136,0,0,0,Moderate,0,150,Clay Loam,Nil,Slight Erosion,Dark Brown,No,No,No,No,2,377982,827805,67.20217564,0.03892638,5.31E-05
31,31,Homancho,Tach Kode,Lemo,Hadiya,SNNP,Communal,,22.947403,1.782424,A/R,"Eucalyptus saligna, Acacia decurrens",2018,2018,1700,68,0,0,0 to 80,Nil to Slight,0 to 50,5 to 80,"Clayloam, Heavy Clay",Nil,Severe Erosion,"Yellowish Brown, Dark Brown",No,No to Medium,Low to Medium,Low,5,382407,827432,23.68053796,0.016135677,1.88E-05
8,8,Jafara,Ashe Kubayega,Lemo,Hadiya,SNNP,Communal,,9.072941,1.438724,A/R,Eucalyptus globulus,2018,2018,1300,52,0,0,7 to 15,Moderate,0,20,Silt Loam,Nil to Slight,Slight Erosion,Brown,No,No,No,No,5,364131,833233,10.24141973,0.013020782,7.44E-06
121,121,Jagorausa,Tach Kode,Lemo,Hadiya,SNNP,Private,,0.422895,0.2741,A/R,Eucalyptus saligna,2018,2018,3400,136,0,0,0,Moderate,0,150,Clay Loam,Nil,Slight Erosion,Dark Brown,No,No,No,No,2,378107,828662,0.426054686,0.002481791,3.47E-07
120,120,Jagorausa,Tach Kode,Lemo,Hadiya,SNNP,Private,,0.474637,0.288829,A/R,Eucalyptus camaldulensis,2017,2017,9400,376,0,0,0,Slight,0,120,Clay Loam,Slight,Slight Erosion,Dark Brown,No,No,No,No,2,377821,828747,0.492680791,0.002615541,3.89E-07
83,83,Jewe,Jewe,Lemo,Hadiya,SNNP,Private,,0.16071,0.175024,A/R,Eucalyptus camaldulensis,2018,2018,8000,320,0,0,0,Moderate,0,150,Clay Loam,Nil,Nil,Brown,Low,No,No,No,2,367323,830894,0.16408957,0.001583747,1.32E-07
29,29,Kalada,Lisana Sena,Lemo,Hadiya,SNNP,Communal,,7.86884,2.178438,A/R,Eucalyptus camaldulensis,2017,2017,1800,72,0,0,0,Nil,0,150,"Loamy Sand, Loam",Nil to Moderate,Nil to Moderate,Reddish Brown,No,No,No,No,2,383354,835346,8.365899098,0.019719072,6.45E-06
33,33,Karo,Anabelesa,Lemo,Hadiya,SNNP,Communal,,0.143994,0.216656,A/R,Eucalyptus camaldulensis,2018,2018,2000,80,0,0,0,Moderate,0,150,Silt Loam,Nil,Nil,Light Brown,Medium,No,No,No,2,383281,840085,0.152285025,0.00196045,1.18E-07
58,58,Karo,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.143569,0.197504,A/R,Eucalyptus camaldulensis,2018,2018,7200,288,0,0,0,Moderate,0,100,Silt Loam,Nil,Nil,Red,Dense,No,High,No,3,383646,840438,0.144769532,0.001787723,1.18E-07
54,54,Koshe,Anabelesa,Lemo,Hadiya,SNNP,Private,,0.232646,0.21196,A/R,Eucalyptus saligna,2017,2017,16700,668,0,0,0,Moderate,0,150,Loam,Nil,Nil,Black,No,No,No,No,2,380510,836471,0.233260154,0.001918493,1.91E-07
7,7,Kubayega,Ashe Kubayega,Lemo,Hadiya,SNNP,Communal,,7.971075,1.281586,A/R,Eucalyptus globulus,2018,2018,1300,52,0,0,7 to 15,Moderate,0,20,Silt Loam,Nil to Slight,Slight Erosion,Brown,No,No,No,No,5,364330,833318,8.440512256,0.011600515,6.53E-06
78,78,Lagamo,Debub Belesa,Lemo,Hadiya,SNNP,Private,,0.196826,0.1971,A/R,No Plantation,2018,,0,0,0,0,0,Nil,0,,,,,,,,,,0,378549,839749,0.201876465,0.001784974,1.61E-07
46,46,Lagamo,Ambicho Gode,Lemo,Hadiya,SNNP,Private,,0.317578,0.227517,A/R,Eucalyptus saligna,2018,2018,11700,468,0,0,0,Nil,0,150,Clay Loam,Nil,Nil,Dark Brown,No,No,No,No,2,377420,838158,0.327168193,0.002059392,2.60E-07
45,45,Lagamo,Ambicho Gode,Lemo,Hadiya,SNNP,Private,,0.431323,0.261912,A/R,Eucalyptus saligna,2018,2018,11700,468,0,0,0,Nil,0,150,Clay Loam,Nil,Nil,Dark Brown,No,No,No,No,2,377360,838146,0.44959961,0.002371555,3.54E-07
14,14,Lemeja,Gora Tume,Lemo,Hadiya,SNNP,Communal,,4.983849,1.343233,A/R,"Acacia decurrens, Eucalyptus globulus",2018,2018,900,36,0,0,2,Moderate,0 to 15,100 to 130,Sandy Loam,Nil,Nil to Slight,Reddish Brown,No,No to Medium,High,Low,3,369517,839640,5.303645864,0.012163526,4.09E-06
4,4,Lemeja,Alela,Lemo,Hadiya,SNNP,Communal,,14.683037,2.06577,A/R,Eucalyptus globulus,2018,2018,1300,52,0,0,0,Moderate,0,100,Silt Loam,Moderate,Nil,Reddish Brown,No,No,No,No,3,367725,831800,15.09534645,0.018702967,1.20E-05
41,41,Lemeja,Alela,Lemo,Hadiya,SNNP,Private,,0.1582,0.167139,A/R,Eucalyptus globulus,2018,2018,2500,100,0,0,0,Nil,0,100,Sandy Clay Loam,Nil,Nil,Reddish Brown,No,No,No,No,2,368547,831733,0.159486654,0.001513458,1.30E-07
40,40,Lemeja,Alela,Lemo,Hadiya,SNNP,Private,,0.647222,0.416474,A/R,Eucalyptus globulus,2018,2018,2000,80,0,0,0,Moderate,0,100,Silty Clay,Moderate,Nil,Reddish Brown,No,No,No,No,3,368972,832334,0.657088364,0.003770134,5.30E-07
39,39,Lemeja,Alela,Lemo,Hadiya,SNNP,Private,,0.850332,0.421436,A/R,Eucalyptus globulus,2018,2018,2300,92,0,0,0,Nil,0,100,Sandy Clay Loam,Nil,Nil,Reddish Brown,No,No,No,No,2,368470,831644,0.872414955,0.003816074,6.97E-07
